date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:54	3244/3244	---MCZ	200	added ('OK')	text/html	etag:W/%222e111fd52e6c00653027ffd53a9ed90f%22	https://clashreward.pages.dev/robots.txt		(from )
12:57:54	19144/19144	---MCZ	200	added ('OK')	text/html	etag:W/%222e111fd52e6c00653027ffd53a9ed90f%22	https://clashreward.pages.dev/	C:/My%20Web%20Sites/https___clashreward.pages.dev_/clashreward.pages.dev/index.html	(from )
12:57:54	1794/1794	---MCZ	200	added ('OK')	text/css	etag:W/%22ff593772cad654afc60cd4634bc21a85%22	https://clashreward.pages.dev/css/styles.css	C:/My%20Web%20Sites/https___clashreward.pages.dev_/clashreward.pages.dev/css/styles.css	(from https://clashreward.pages.dev/)
12:57:55	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2016%20Dec%202025%2010:57:57%20GMT	https://i.postimg.cc/mrKXKL5L/thumb-1920-1124066.jpg	C:/My%20Web%20Sites/https___clashreward.pages.dev_/i.postimg.cc/mrKXKL5L/thumb-1920-1124066.1.delayed	(from https://clashreward.pages.dev/)
12:57:56	27325/27325	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f71ffb9a974716679657dc2be6f48a2%22	https://da4talg8ap14y.cloudfront.net/0648eea.js	C:/My%20Web%20Sites/https___clashreward.pages.dev_/da4talg8ap14y.cloudfront.net/0648eea.js	(from https://clashreward.pages.dev/)
12:57:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2016%20Dec%202025%2010:57:58%20GMT	https://clashreward.pages.dev/index.html	C:/My%20Web%20Sites/https___clashreward.pages.dev_/clashreward.pages.dev/index-2.html	(from https://clashreward.pages.dev/)
12:57:57	127083/127083	---M--	200	added ('OK')	image/png	etag:%2274236d4542130742afbef9e009784c88%22	https://clashreward.pages.dev/assets/logo.png	C:/My%20Web%20Sites/https___clashreward.pages.dev_/clashreward.pages.dev/assets/logo.png	(from https://clashreward.pages.dev/)
12:57:58	9830/9830	---M--	200	added ('OK')	image/webp	etag:%22R+ad6lfrsUQrno2x36DO0w==%22	https://static.wikia.nocookie.net/clashroyale/images/e/ec/Triple_Threat_Lucky_Chest.png	C:/My%20Web%20Sites/https___clashreward.pages.dev_/static.wikia.nocookie.net/clashroyale/images/e/ec/Triple_Threat_Lucky_Chest.webp_;%20filename_=UTF-8''Triple_Threat_Lucky_Chest.webp	(from https://clashreward.pages.dev/)
12:57:58	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2016%20Dec%202025%2010:57:59%20GMT	https://i.postimg.cc/15Vm7pWT/christmas-chest.png	C:/My%20Web%20Sites/https___clashreward.pages.dev_/i.postimg.cc/15Vm7pWT/christmas-chest.png	(from https://clashreward.pages.dev/)
12:57:59	11628/11628	---M--	200	added ('OK')	image/webp	etag:%22ILVNOlczEcV2iEaT8ZiChQ==%22	https://static.wikia.nocookie.net/clashroyale/images/a/a8/Lucky_Drop.png	C:/My%20Web%20Sites/https___clashreward.pages.dev_/static.wikia.nocookie.net/clashroyale/images/a/a8/Lucky_Drop.webp_;%20filename_=UTF-8''Lucky_Drop.webp	(from https://clashreward.pages.dev/)
12:58:00	10328/10328	---M--	200	added ('OK')	image/webp	etag:%22MdBMSBZfjwNfnVK+j27RyA==%22	https://static.wikia.nocookie.net/clashroyale/images/f/f0/Common_Lucky_Chest.png	C:/My%20Web%20Sites/https___clashreward.pages.dev_/static.wikia.nocookie.net/clashroyale/images/f/f0/Common_Lucky_Chest.webp_;%20filename_=UTF-8''Common_Lucky_Chest.webp	(from https://clashreward.pages.dev/)
